,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM
,index_price,mark_price,best_bid,best_ask,funding_rate
datetime,,,,,
2025-11-16 12:40:44,,,,,
2025-11-16 12:40:45,,,139.653,139.654,
2025-11-16 12:40:46,139.66,139.658,139.669,139.67000000000002,
2025-11-16 12:40:47,139.662,139.667,139.683,139.684,
2025-11-16 12:40:48,139.684,139.684,139.7155,139.7165,
2025-11-16 12:40:49,139.724,139.722,139.7229,139.72390000000001,
2025-11-16 12:40:50,,,139.7201,139.72110000000004,
2025-11-16 12:40:51,,,139.7084,139.70940000000002,
2025-11-16 12:40:52,139.712,139.71,139.73420000000002,139.7352,
2025-11-16 12:40:53,139.739,139.744,139.747,139.748,
2025-11-16 12:40:54,139.733,139.738,139.747,139.748,
2025-11-16 12:40:55,139.74,139.745,139.747,139.748,
2025-11-16 12:40:56,139.739,139.744,139.7431,139.7441,
2025-11-16 12:40:57,139.736,139.735,139.746,139.747,
2025-11-16 12:40:58,139.734,139.733,139.746,139.747,
2025-11-16 12:40:59,139.735,139.734,139.746,139.747,
2025-11-16 12:41:00,139.74,139.739,139.74190000000002,139.7433,8.8e-05
2025-11-16 12:41:01,139.739,139.744,139.715,139.716,
2025-11-16 12:41:02,139.717,139.716,139.6911,139.6921,
2025-11-16 12:41:03,139.665,139.67,139.6807,139.6817,
2025-11-16 12:41:04,139.679,139.684,139.673,139.674,
2025-11-16 12:41:05,139.676,139.675,139.673,139.674,
2025-11-16 12:41:06,139.673,139.674,139.7002,139.7012,
2025-11-16 12:41:07,139.711,139.71,139.6981,139.6991,
2025-11-16 12:41:08,139.696,139.695,139.7,139.701,
2025-11-16 12:41:09,139.698,139.697,139.7,139.701,
